instrument_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
10846978,NIFTY2261615000CE,NIFTY,2022-06-16,15000.0,50,CE
10847234,NIFTY2261615000PE,NIFTY,2022-06-16,15000.0,50,PE
10847490,NIFTY2261615050CE,NIFTY,2022-06-16,15050.0,50,CE
10847746,NIFTY2261615050PE,NIFTY,2022-06-16,15050.0,50,PE
10848002,NIFTY2261615100CE,NIFTY,2022-06-16,15100.0,50,CE
10849282,NIFTY2261615100PE,NIFTY,2022-06-16,15100.0,50,PE
10849538,NIFTY2261615150CE,NIFTY,2022-06-16,15150.0,50,CE
10849794,NIFTY2261615150PE,NIFTY,2022-06-16,15150.0,50,PE
9874690,NIFTY2261615200CE,NIFTY,2022-06-16,15200.0,50,CE
9874946,NIFTY2261615200PE,NIFTY,2022-06-16,15200.0,50,PE
9875202,NIFTY2261615250CE,NIFTY,2022-06-16,15250.0,50,CE
9875458,NIFTY2261615250PE,NIFTY,2022-06-16,15250.0,50,PE
9875714,NIFTY2261615300CE,NIFTY,2022-06-16,15300.0,50,CE
9875970,NIFTY2261615300PE,NIFTY,2022-06-16,15300.0,50,PE
9876226,NIFTY2261615350CE,NIFTY,2022-06-16,15350.0,50,CE
9876994,NIFTY2261615350PE,NIFTY,2022-06-16,15350.0,50,PE
9877250,NIFTY2261615400CE,NIFTY,2022-06-16,15400.0,50,CE
9878018,NIFTY2261615400PE,NIFTY,2022-06-16,15400.0,50,PE
12717058,NIFTY2261615450CE,NIFTY,2022-06-16,15450.0,50,CE
12717570,NIFTY2261615450PE,NIFTY,2022-06-16,15450.0,50,PE
12717826,NIFTY2261615500CE,NIFTY,2022-06-16,15500.0,50,CE
12718082,NIFTY2261615500PE,NIFTY,2022-06-16,15500.0,50,PE
12719106,NIFTY2261615550CE,NIFTY,2022-06-16,15550.0,50,CE
12719362,NIFTY2261615550PE,NIFTY,2022-06-16,15550.0,50,PE
12719618,NIFTY2261615600CE,NIFTY,2022-06-16,15600.0,50,CE
12719874,NIFTY2261615600PE,NIFTY,2022-06-16,15600.0,50,PE
10203650,NIFTY2261615650CE,NIFTY,2022-06-16,15650.0,50,CE
10203906,NIFTY2261615650PE,NIFTY,2022-06-16,15650.0,50,PE
10204674,NIFTY2261615700CE,NIFTY,2022-06-16,15700.0,50,CE
10204930,NIFTY2261615700PE,NIFTY,2022-06-16,15700.0,50,PE
10205186,NIFTY2261615750CE,NIFTY,2022-06-16,15750.0,50,CE
10205442,NIFTY2261615750PE,NIFTY,2022-06-16,15750.0,50,PE
10205698,NIFTY2261615800CE,NIFTY,2022-06-16,15800.0,50,CE
10208514,NIFTY2261615800PE,NIFTY,2022-06-16,15800.0,50,PE
10208770,NIFTY2261615850CE,NIFTY,2022-06-16,15850.0,50,CE
10247682,NIFTY2261615850PE,NIFTY,2022-06-16,15850.0,50,PE
11213826,NIFTY2261615900CE,NIFTY,2022-06-16,15900.0,50,CE
11214082,NIFTY2261615900PE,NIFTY,2022-06-16,15900.0,50,PE
11214338,NIFTY2261615950CE,NIFTY,2022-06-16,15950.0,50,CE
11214594,NIFTY2261615950PE,NIFTY,2022-06-16,15950.0,50,PE
11187970,NIFTY2261616000CE,NIFTY,2022-06-16,16000.0,50,CE
11190274,NIFTY2261616000PE,NIFTY,2022-06-16,16000.0,50,PE
13474306,BANKNIFTY2261632000CE,BANKNIFTY,2022-06-16,32000.0,25,CE
13474562,BANKNIFTY2261632000PE,BANKNIFTY,2022-06-16,32000.0,25,PE
13475330,BANKNIFTY2261632100CE,BANKNIFTY,2022-06-16,32100.0,25,CE
13475586,BANKNIFTY2261632100PE,BANKNIFTY,2022-06-16,32100.0,25,PE
13475842,BANKNIFTY2261632200CE,BANKNIFTY,2022-06-16,32200.0,25,CE
13476098,BANKNIFTY2261632200PE,BANKNIFTY,2022-06-16,32200.0,25,PE
13476354,BANKNIFTY2261632300CE,BANKNIFTY,2022-06-16,32300.0,25,CE
13476610,BANKNIFTY2261632300PE,BANKNIFTY,2022-06-16,32300.0,25,PE
13476866,BANKNIFTY2261632400CE,BANKNIFTY,2022-06-16,32400.0,25,CE
13477122,BANKNIFTY2261632400PE,BANKNIFTY,2022-06-16,32400.0,25,PE
13477378,BANKNIFTY2261632500CE,BANKNIFTY,2022-06-16,32500.0,25,CE
13477634,BANKNIFTY2261632500PE,BANKNIFTY,2022-06-16,32500.0,25,PE
13477890,BANKNIFTY2261632600CE,BANKNIFTY,2022-06-16,32600.0,25,CE
13478146,BANKNIFTY2261632600PE,BANKNIFTY,2022-06-16,32600.0,25,PE
13478402,BANKNIFTY2261632700CE,BANKNIFTY,2022-06-16,32700.0,25,CE
13478658,BANKNIFTY2261632700PE,BANKNIFTY,2022-06-16,32700.0,25,PE
13478914,BANKNIFTY2261632800CE,BANKNIFTY,2022-06-16,32800.0,25,CE
13479170,BANKNIFTY2261632800PE,BANKNIFTY,2022-06-16,32800.0,25,PE
13480194,BANKNIFTY2261632900CE,BANKNIFTY,2022-06-16,32900.0,25,CE
13480706,BANKNIFTY2261632900PE,BANKNIFTY,2022-06-16,32900.0,25,PE
13480962,BANKNIFTY2261633000CE,BANKNIFTY,2022-06-16,33000.0,25,CE
13481218,BANKNIFTY2261633000PE,BANKNIFTY,2022-06-16,33000.0,25,PE
13481474,BANKNIFTY2261633100CE,BANKNIFTY,2022-06-16,33100.0,25,CE
13481730,BANKNIFTY2261633100PE,BANKNIFTY,2022-06-16,33100.0,25,PE
13481986,BANKNIFTY2261633200CE,BANKNIFTY,2022-06-16,33200.0,25,CE
13482242,BANKNIFTY2261633200PE,BANKNIFTY,2022-06-16,33200.0,25,PE
13482498,BANKNIFTY2261633300CE,BANKNIFTY,2022-06-16,33300.0,25,CE
13482754,BANKNIFTY2261633300PE,BANKNIFTY,2022-06-16,33300.0,25,PE
13483010,BANKNIFTY2261633400CE,BANKNIFTY,2022-06-16,33400.0,25,CE
13483266,BANKNIFTY2261633400PE,BANKNIFTY,2022-06-16,33400.0,25,PE
13483522,BANKNIFTY2261633500CE,BANKNIFTY,2022-06-16,33500.0,25,CE
