,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
1401,2022-06-17 09:15:00+05:30,887.95,1036.75,853.45,984.1,13350,49550,79.8,79.43368107302535,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,4311.25,775.8009999999999,58532.5,3.1,True,True,True,True,False,False,True,True,True,-2625.0,49500.0,2022-06-17,958,12789300,12789300,13350,958.0,0.0,True,False,False,46829705.0,2625.0
1402,2022-06-17 09:17:00+05:30,989.65,1013.15,905.55,922.2,17450,47300,65.59,31.88205026716805,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5056.25,780.2280000000001,57687.5,3.45,True,True,True,True,False,False,False,False,False,-2250.0,47250.0,2022-06-17,946,16507700,29297000,30800,951.2,-5.2,False,False,False,45377254.99999999,2250.0
1403,2022-06-17 09:19:00+05:30,918.05,966.45,892.85,896.1,6625,49475,60.68,26.092715231788095,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5113.75,784.187,56951.25,1.3,True,False,True,True,False,False,False,False,False,2175.0,49425.0,2022-06-17,918,6081750,35378750,37425,945.32,-27.32,False,False,False,45994433.75000001,2175.0
1404,2022-06-17 09:21:00+05:30,890.0,914.15,855.8,906.4,4525,49475,61.89,27.086055628150074,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5268.75,788.735,56392.5,0.86,True,False,True,True,False,False,False,True,True,0.0,49425.0,2022-06-17,892,4036300,39415050,41950,939.57,-47.57,False,False,False,43784138.12499999,0.0
1405,2022-06-17 09:23:00+05:30,906.4,968.2,906.4,968.2,7100,49525,68.22,45.0,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5495.0,794.7539999999999,55851.25,1.29,True,False,True,True,False,False,False,True,True,50.0,49475.0,2022-06-17,947,6723700,46138750,49050,940.65,6.35,True,True,False,46419782.5,50.0
1406,2022-06-17 09:25:00+05:30,968.2,980.0,918.55,935.95,6175,50050,62.4,29.739994157172084,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5716.25,799.6000000000001,55336.25,1.08,True,False,True,True,False,False,False,False,False,525.0,50000.0,2022-06-17,944,5829200,51967950,55225,941.02,2.98,False,False,False,47511213.75,525.0
1407,2022-06-17 09:27:00+05:30,935.95,972.85,935.8,972.85,2950,50050,65.98,33.81037567084079,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5652.5,805.132,54808.75,0.52,True,False,False,True,False,False,False,True,True,0.0,50000.0,2022-06-17,960,2832000,54799950,58175,941.98,18.02,True,True,False,47763966.25,0.0
1408,2022-06-17 09:29:00+05:30,972.85,994.9,966.15,972.0,3475,51325,65.82,29.04643327962501,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5662.5,810.0640000000001,54411.25,0.61,True,False,True,True,False,False,False,False,False,1275.0,51275.0,2022-06-17,977,3395075,58195025,61650,943.96,33.04,True,True,False,50325445.625,1275.0
1409,2022-06-17 09:31:00+05:30,972.0,1001.0,972.0,987.95,4400,51525,67.37,1.5647226173542053,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5858.75,815.35,54023.75,0.75,True,False,True,True,False,False,False,True,True,200.0,51475.0,2022-06-17,986,4338400,62533425,66050,946.76,39.24,True,True,False,50829412.5,200.0
1410,2022-06-17 09:33:00+05:30,987.95,987.95,943.75,965.0,4075,51525,62.94,20.666344760984995,BANKNIFTY2262333200PE,PE,33200.0,2022-06-23,25,BANKNIFTY,5938.75,820.5110000000001,53623.75,0.69,True,False,True,True,False,False,False,False,False,0.0,51475.0,2022-06-17,965,3932375,66465800,70125,947.82,17.18,True,False,False,49765421.25,0.0
