,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
1147,2022-06-17 09:15:00+05:30,20.0,41.95,20.0,32.2,1232400,2969700,26.27,-61.734693877551,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,230602.5,51.943999999999996,2820460.0,5.34,False,False,True,False,True,True,False,False,True,73250.0,2969500.0,2022-06-17,31,38204400,38204400,1232400,31.0,0.0,True,False,False,91986457.5,73250.0
1148,2022-06-17 09:17:00+05:30,32.05,35.2,31.2,34.95,995400,3125950,32.65,-35.96059113300492,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,275570.0,51.261,2836297.5,3.61,False,False,True,False,True,False,False,True,True,156250.0,3125750.0,2022-06-17,33,32848200,71052600,2227800,31.89,1.11,True,True,False,103781540.00000001,156250.0
1149,2022-06-17 09:19:00+05:30,35.0,35.05,31.45,34.0,876350,3352800,31.63,-48.98989898989901,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,311697.5,50.54600000000001,2863477.5,2.81,False,False,True,False,True,False,False,False,False,226850.0,3352600.0,2022-06-17,33,28919550,99972150,3104150,32.21,0.79,True,False,False,111480600.0,226850.0
1150,2022-06-17 09:21:00+05:30,33.95,35.95,32.6,33.75,568300,3352800,31.35,-51.89873417721519,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,333457.5,49.843,2889462.5,1.7,False,False,True,False,True,False,False,False,False,0.0,3352600.0,2022-06-17,34,19322200,119294350,3672450,32.48,1.52,True,True,False,114917220.00000001,0.0
1151,2022-06-17 09:23:00+05:30,33.75,33.75,28.9,29.75,652050,3479650,27.24,-58.33333333333333,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,356775.0,49.047,2922970.0,1.83,False,False,True,False,True,True,False,False,False,126850.0,3479450.0,2022-06-17,30,19561500,138855850,4324500,32.11,-2.11,False,False,False,109000036.25,126850.0
1152,2022-06-17 09:25:00+05:30,29.1,30.5,28.4,29.6,542050,3574450,27.1,-58.424507658643336,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,379162.5,48.287,2961217.5,1.43,False,False,True,False,True,True,False,False,True,94800.0,3574250.0,2022-06-17,29,15719450,154575300,4866550,31.76,-2.76,False,False,False,105267552.5,94800.0
1153,2022-06-17 09:27:00+05:30,29.6,29.65,24.85,24.9,601800,3574450,23.01,-78.47358121330724,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,405065.0,47.455,2999335.0,1.49,False,False,True,False,True,True,False,False,False,0.0,3574250.0,2022-06-17,26,15646800,170222100,5468350,31.13,-5.13,False,False,False,97403762.5,0.0
1154,2022-06-17 09:29:00+05:30,24.8,25.1,23.3,23.65,560650,3723550,22.06,-79.16666666666666,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,426855.0,46.684000000000005,3046500.0,1.31,False,False,True,False,True,True,False,False,False,149100.0,3723350.0,2022-06-17,24,13455600,183677700,6029000,30.47,-6.47,False,False,False,90109910.00000001,149100.0
1155,2022-06-17 09:31:00+05:30,23.55,24.65,22.75,23.85,1154200,3593400,22.61,-58.59649122807016,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,469760.0,45.919000000000004,3087157.5,2.46,False,True,True,False,True,True,False,True,True,-130150.0,3593200.0,2022-06-17,23,26546600,210224300,7183200,29.27,-6.27,False,True,False,85163580.0,130150.0
1156,2022-06-17 09:33:00+05:30,23.95,24.9,23.7,24.05,563300,3593400,23.2,-93.16239316239313,NIFTY2262315800CE,CE,15800.0,2022-06-23,50,NIFTY,491772.5,45.145999999999994,3127485.0,1.15,False,False,True,False,True,True,False,True,True,0.0,3593200.0,2022-06-17,24,13519200,223743500,7746500,28.88,-4.88,False,True,False,87319619.99999999,0.0
