,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
248,2022-06-17 09:15:00+05:30,865.4,871.5,756.25,843.3,6025,1675,2.16,-86.94736842105263,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,321.25,1386.027,247.5,18.75,False,False,True,False,False,True,False,False,False,1225.0,1675.0,2022-06-17,823,4958575,4958575,6025,823.0,0.0,True,False,False,1363240.625,1225.0
249,2022-06-17 09:20:00+05:30,848.8,904.35,794.4,794.4,6450,2950,1.84,-90.75454816582165,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,643.75,1367.495,392.5,10.02,False,False,True,False,False,True,False,False,False,1275.0,2950.0,2022-06-17,831,5359950,10318525,12475,827.14,3.86,False,True,False,2505656.25,1275.0
250,2022-06-17 09:25:00+05:30,794.4,828.1,765.65,771.6,9000,8125,1.71,-91.86138093987924,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,1093.75,1348.507,796.25,8.23,False,False,True,False,False,True,False,False,False,5175.0,8125.0,2022-06-17,788,7092000,17410525,21475,810.73,-22.73,False,False,False,6474609.375,5175.0
251,2022-06-17 09:30:00+05:30,762.15,803.2,756.9,796.95,6075,10450,9.29,-69.32344763670062,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,1397.5,1330.026,1316.25,4.35,False,False,True,False,False,True,False,True,True,2325.0,10450.0,2022-06-17,785,4768875,22179400,27550,805.06,-20.06,False,True,False,8151522.499999999,2325.0
252,2022-06-17 09:35:00+05:30,796.95,866.9,790.0,861.2,7400,13450,25.07,-30.476700589180478,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,1767.5,1312.83,1986.25,4.19,False,False,True,False,False,True,False,True,True,3000.0,13450.0,2022-06-17,839,6208600,28388000,34950,812.25,26.75,True,True,False,11142652.5,3000.0
253,2022-06-17 09:40:00+05:30,861.2,1133.2,861.2,1063.0,8650,11925,52.83,23.130325023666785,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,2200.0,1299.67,2580.0,3.93,False,True,True,False,False,False,False,True,True,-1525.0,11925.0,2022-06-17,1019,8814350,37202350,43600,853.26,165.74,True,True,False,11891610.0,1525.0
254,2022-06-17 09:45:00+05:30,1073.05,1102.1,1035.35,1083.95,3800,12325,54.71,33.361684031469295,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,2390.0,1286.9289999999999,3193.75,1.59,False,False,True,False,False,False,False,True,True,400.0,12325.0,2022-06-17,1073,4077400,41279750,47400,870.88,202.12,True,True,False,13172035.624999998,400.0
255,2022-06-17 09:50:00+05:30,1083.95,1120.0,1014.1,1026.35,2425,10850,48.94,18.61767777461311,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,2511.25,1273.0359999999998,3733.75,0.97,False,True,True,False,False,False,False,False,False,-1475.0,10850.0,2022-06-17,1053,2553525,43833275,49825,879.74,173.26,True,False,False,11577492.5,1475.0
256,2022-06-17 09:55:00+05:30,1026.35,1055.5,1006.25,1055.5,4275,10800,51.72,45.07221750212403,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,2723.75,1259.7259999999999,4266.25,1.57,False,True,True,False,False,False,False,True,True,-50.0,10800.0,2022-06-17,1039,4441725,48275000,54100,892.33,146.67,True,False,False,11133450.0,50.0
257,2022-06-17 10:00:00+05:30,1055.5,1087.2,1031.35,1041.7,1475,10100,50.32,56.759238007803525,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,2792.5,1246.14,4762.5,0.53,False,True,True,False,False,False,True,False,False,-700.0,10100.0,2022-06-17,1053,1553175,49828175,55575,896.59,156.41,True,True,False,10698677.5,700.0
258,2022-06-17 10:05:00+05:30,1041.7,1041.7,976.95,976.95,1150,9750,44.29,42.991730346488,BANKNIFTY2262331900CE,CE,31900.0,2022-06-23,25,BANKNIFTY,2848.75,1231.259,5238.75,0.4,False,True,True,False,False,False,False,False,False,-350.0,9750.0,2022-06-17,998,1147700,50975875,56725,898.65,99.35,True,False,False,9840918.75,350.0
