,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
483,2022-06-17 09:15:00+05:30,350.35,417.55,302.35,349.1,670600,189525,72.02,95.08105086640583,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,48866.25,226.34,37316.25,13.72,False,False,True,True,True,False,True,True,False,141425.0,189525.0,2022-06-17,356,238733600,238733600,670600,356.0,0.0,False,False,False,68219523.75000001,141425.0
484,2022-06-17 09:20:00+05:30,344.45,368.85,315.0,366.65,543375,386575,74.55,97.7358490566038,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,75728.75,230.87699999999998,55496.25,7.18,False,False,True,True,True,False,True,True,True,197050.0,386575.0,2022-06-17,350,190181250,428914850,1213975,353.31,-3.31,True,False,False,132179656.875,197050.0
485,2022-06-17 09:25:00+05:30,366.65,376.1,341.65,372.0,343825,474400,75.28,97.50390015600627,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,92636.25,235.67199999999997,78087.5,3.71,False,False,True,True,True,False,True,True,True,87825.0,474400.0,2022-06-17,363,124808475,553723325,1557800,355.45,7.55,True,True,False,170250300.0,87825.0
486,2022-06-17 09:30:00+05:30,374.0,379.55,350.5,362.9,356850,484200,71.51,82.50840941854874,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,110220.0,240.246,101163.75,3.24,False,False,True,True,True,False,True,False,False,9800.0,484200.0,2022-06-17,364,129893400,683616725,1914650,357.05,6.95,True,False,False,176745105.0,9800.0
487,2022-06-17 09:35:00+05:30,359.35,362.65,304.15,317.7,335825,523875,56.39,17.288651942117276,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,126695.0,243.52700000000002,126172.5,2.65,False,False,True,True,True,False,False,False,False,39675.0,523875.0,2022-06-17,328,110150600,793767325,2250475,352.71,-24.71,False,False,False,174659925.0,39675.0
488,2022-06-17 09:40:00+05:30,315.0,318.65,219.15,244.6,513125,482775,41.22,-28.20125786163521,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,151740.0,245.149,149130.0,3.38,False,True,True,False,True,False,False,False,False,-41100.0,482775.0,2022-06-17,260,133412500,927179825,2763600,335.5,-75.5,False,False,False,129818197.49999999,41100.0
489,2022-06-17 09:45:00+05:30,243.65,256.55,220.0,223.75,261150,505650,38.07,-37.33209819360817,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,164138.75,246.415,173120.0,1.59,False,False,True,False,True,False,False,False,False,22875.0,505650.0,2022-06-17,233,60847950,988027775,3024750,326.65,-93.65,False,False,False,120483753.75,22875.0
490,2022-06-17 09:50:00+05:30,224.4,253.55,210.0,247.85,325675,524675,43.45,-39.75960405373556,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,179857.5,248.31400000000002,198072.5,1.81,False,False,True,False,True,False,False,True,True,19025.0,524675.0,2022-06-17,237,77184975,1065212750,3350425,317.93,-80.93,False,True,False,121606548.125,19025.0
491,2022-06-17 09:55:00+05:30,249.55,260.5,229.45,229.85,212825,530825,40.61,-55.920281359906234,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,190092.5,249.425,223297.5,1.12,False,False,True,False,True,False,False,False,False,6150.0,530825.0,2022-06-17,239,50865175,1116077925,3563250,313.22,-74.22,False,True,False,130038854.375,6150.0
492,2022-06-17 10:00:00+05:30,229.1,252.7,222.65,246.0,157400,517100,44.13,-56.9506726457399,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,196933.75,250.72600000000003,247848.75,0.8,False,True,True,False,True,False,False,True,True,-13725.0,517100.0,2022-06-17,240,37776000,1153853925,3720650,310.12,-70.12,False,True,False,122901742.5,13725.0
493,2022-06-17 10:05:00+05:30,247.85,275.05,242.85,275.05,180650,518575,49.89,-41.15898959881129,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,205093.75,252.92700000000002,272545.0,0.88,False,False,True,True,True,False,False,True,True,1475.0,518575.0,2022-06-17,264,47691600,1201545525,3901300,307.99,-43.99,False,True,False,134284996.25,1475.0
494,2022-06-17 10:10:00+05:30,275.3,302.15,266.0,295.6,269500,507150,53.54,-27.246963562753017,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,217805.0,255.899,296567.5,1.24,False,True,True,True,True,False,False,True,True,-11425.0,507150.0,2022-06-17,287,77346500,1278892025,4170800,306.63,-19.63,False,True,False,144068636.25,11425.0
495,2022-06-17 10:15:00+05:30,293.1,298.35,278.65,282.85,130625,511525,51.05,-16.24329993008621,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,223833.75,258.416,320688.75,0.58,False,False,True,True,True,False,False,False,False,4375.0,511525.0,2022-06-17,286,37358750,1316250775,4301425,306.0,-20.0,False,False,False,147574962.5,4375.0
496,2022-06-17 10:20:00+05:30,281.8,291.15,268.45,290.4,120150,510575,52.46,30.738255033557042,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,229440.0,260.862,344775.0,0.52,False,True,True,True,True,False,False,True,True,-950.0,510575.0,2022-06-17,283,34002450,1350253225,4421575,305.38,-22.38,False,False,False,142858884.99999997,950.0
497,2022-06-17 10:25:00+05:30,291.6,296.0,277.35,286.8,64125,513325,51.7,47.85578747628087,BANKNIFTY2262332100PE,PE,32100.0,2022-06-23,25,BANKNIFTY,231468.75,263.361,368848.75,0.28,False,False,True,True,True,False,False,False,False,2750.0,513325.0,2022-06-17,286,18339750,1368592975,4485700,305.1,-19.1,False,True,False,147157444.375,2750.0
