,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
895,2022-06-27 09:15:00+05:30,520.05,599.35,500.0,583.15,208825,40875,21.83,-77.53417590920817,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,11378.75,901.872,17481.25,18.35,False,False,True,False,True,True,False,False,True,25625.0,26975.0,2022-06-27,560,116942000,116942000,208825,560.0,0.0,True,False,False,22467965.625,25625.0
896,2022-06-27 09:20:00+05:30,579.9,583.5,543.8,561.7,174225,131675,20.9,-77.40303541315346,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,20068.75,893.7080000000001,23242.5,8.68,False,False,True,False,True,True,False,False,False,90800.0,117775.0,2022-06-27,563,98088675,215030675,383050,561.36,1.64,True,True,False,74218613.75,90800.0
897,2022-06-27 09:25:00+05:30,559.0,569.25,521.45,538.25,204125,170525,19.91,-85.85781508330156,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,30268.75,885.5310000000001,30945.0,6.74,False,False,True,False,True,True,False,False,False,38850.0,156625.0,2022-06-27,542,110635750,325666425,587175,554.63,-12.63,False,False,False,92995808.75,38850.0
898,2022-06-27 09:30:00+05:30,535.0,572.4,529.4,541.55,153800,182550,20.48,-83.99588318538534,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,37942.5,877.513,39252.5,4.05,False,False,True,False,True,True,False,True,True,12025.0,168650.0,2022-06-27,547,84128600,409795025,740975,553.05,-6.05,False,True,False,100566795.0,12025.0
899,2022-06-27 09:35:00+05:30,539.1,570.65,535.25,570.65,75200,202000,25.55,-69.91880074953157,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,41570.0,869.95,48540.0,1.81,False,False,True,False,True,True,False,True,True,19450.0,188100.0,2022-06-27,558,41961600,451756625,816175,553.5,4.5,True,True,False,111695900.00000001,19450.0
900,2022-06-27 09:40:00+05:30,572.0,597.55,558.0,577.2,146975,185650,26.68,-79.44591029023744,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,48895.0,861.814,57012.5,3.01,False,True,True,False,True,True,False,True,True,-16350.0,171750.0,2022-06-27,577,84804575,536561200,963150,557.09,19.91,True,True,False,107263928.75,16350.0
901,2022-06-27 09:45:00+05:30,580.5,628.15,577.6,616.0,154025,168975,33.17,-61.90126179100821,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,56583.75,853.702,64665.0,2.72,False,True,True,False,True,False,False,True,True,-16675.0,155075.0,2022-06-27,607,93493175,630054375,1117175,563.97,43.03,True,True,False,101870803.125,16675.0
902,2022-06-27 09:50:00+05:30,616.1,635.4,610.4,628.4,86000,158550,35.14,-51.88150520416334,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,60863.75,846.184,71785.0,1.41,False,True,True,False,True,False,False,True,True,-10425.0,144650.0,2022-06-27,624,53664000,683718375,1203175,568.26,55.74,True,True,False,98760795.0,10425.0
903,2022-06-27 09:55:00+05:30,631.8,646.75,595.0,632.45,74150,155275,35.81,35.442127965492496,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,64560.0,839.015,78741.25,1.15,False,True,True,False,True,False,False,True,True,-3275.0,141375.0,2022-06-27,624,46269600,729987975,1277325,571.5,52.5,True,False,False,96406365.625,3275.0
904,2022-06-27 10:00:00+05:30,631.7,635.95,587.55,603.15,68100,153975,33.15,28.206873086083622,BANKNIFTY22JUN34400PE,PE,34400.0,2022-06-30,25,BANKNIFTY,67932.5,831.771,85645.0,1.0,False,True,True,False,True,False,False,False,False,-1300.0,140075.0,2022-06-27,608,41404800,771392775,1345425,573.35,34.65,True,False,False,94194206.25,1300.0
